judul,tanggal,sentimen
"Komentarnya Jadi Sorotan, Segini Harta Senator Arya Wedakarna",2024/01/04,netral
"Catat, inI 7 Faktor yang Mempengaruhi Harga Kripto",2024/01/04,netral
"Panasnya Data Pekerja AS, Bikin Wall Street Makin Ambles",2024/01/05,negatif
"Kabar Hengkang dari Proyek IKN, Wings & Djarum Grup Buka Suara",2024/01/05,netral
"Duit Miliaran Raib, Satu Petinggi Bank Victoria Syariah Tersangka!",2024/01/05,negatif
IHSG Gagal Happy Weekend Setelah Cetak Rekor Baru,2024/01/05,negatif
"BEI Tunjuk Sekuritas Jadi Market Maker, Selama Ini Bagaimana?",2024/01/05,netral
Sah! PTPP Energi Divestasi Saham Inpola Meka Energi,2024/01/05,positif
"Data AS Bikin Deg-degan, Dolar Naik ke Rp 15.500-an",2024/01/05,negatif
"Punya Harta Rp 173 T, Ini Sosok Taipan Paling Misterius di Dunia",2024/01/05,netral
"Soekarno Sampai Jokowi, Siapa Presiden RI Terkaya Vs Termiskin?",2024/01/06,netral
"Naik, Cek Daftar Terbaru Biaya Administrasi & Limit Transaksi Bank BCA",2024/01/06,netral
"Aturan Pinjol Terbaru, Berlaku Mulai Tahun Ini",2024/01/06,netral
Mesin Uang Orang Terkaya Israel Ternyata Disukai Warga RI,2024/01/06,netral
"8 SBN Ritel akan Terbit Tahun 2024, Intip Jadwalnya!",2024/01/06,netral
"Awal 2024, Bank Bangkrut di RI Tambah Satu",2024/01/06,negatif
DI IKN Grup Wings dan Djarum Bukan Investasi Komersial,2024/01/06,netral
"Jadi Sorotan Publik, Ternyata Ini Raja Debt Collector RI",2024/01/07,netral
"Pasok Pasar Domestik, Target Produksi Inalum Tahun Ini 274.140 Ton",2024/01/07,positif
"Tahun Ini Lengser, Ternyata Segini Uang Pensiun Jokowi",2024/01/07,netral
"Kejanggalan & Pemufakatan Jahat Pembelian Emas Antam Rp3,5 T Budi Said",2024/01/07,negatif
"Disebut Gibran-Mahfud, Ini Daftar Terbaru Investor IKN Pimpinan Aguan",2024/01/07,netral
"OJK Ungkap 6 Multifinance RI Mati di 2023, 8 Lainnya Menghitung Hari",2024/01/07,negatif
"Wall Street Dibuka Sedikit Cerah, Bakal Bertahan Lama?",2024/01/08,positif
"Marak Penipuan di WA, Mahfud MD Minta OJK Lakukan Ini",2024/01/08,negatif
"4 Emiten Gelar Rights Issue di Awal Tahun, Ini Daftarnya",2024/01/08,positif
"Perang Lawan Saham Gorengan, Prabowo - Gibran Mau Bikin Ini",2024/01/08,netral
"Punya Predikat Perusahaan Terbesar RI, Begini Prospek BBRI",2024/01/08,netral
"Heboh Hotman Paris Protes Pajak Hiburan 40%, Ini Jawab DJP!",2024/01/08,netral
"Banyak Saham IPO Terjun Bebas, Tim Ganjar-Mahfud Bilang Gini",2024/01/08,negatif
Cabang BSI Mulai Buka Layanan Weekend Banking,2024/01/08,netral
"IHSG Berbalik Lesu, 8 Saham Big Cap Ini Biang Keroknya",2024/01/08,negatif
Anies-Cak Imin Mau Jagokan Teknologi Buat Dorong Markep Cap Bursa,2024/01/08,positif
"Cadev Indonesia Tertinggi 2 Tahun Terakhir, Rupiah Tetap Turun",2024/01/08,negatif
"Pabrik Air minum Pertama IKN Beroperasi, Milik Crazy Rich Surabaya",2024/01/08,positif
"Unjuk Rasa di PN Jakpus, Aliansi Korban Wanaartha Protes Ini",2024/01/08,negatif
"14 BUMN Pasien PPA Dikaji 9 Bulan, Bakal Ada yang Tutup Lagi ?",2024/01/08,negatif
"14 BUMN 'Sakit' Udah 9 Bulan Dipelototin PPA, Ini Daftarnya",2024/01/08,negatif
"Heboh Wings dan Djarum Group Hengkang dari IKN, Siapa Pemiliknya?",2024/01/08,netral
Kupas Strategi J Trust Bank dalam Menjaga Pertumbuhan di 2024,2024/01/08,netral
"Baru IPO, Emiten Gas Ini Udah Patok Jualan Naik 4 Kali Lipat",2024/01/08,positif
Deretan Sektor Saham yang Bawa Cuan di Tahun Politik,2024/01/08,netral
"Wall Street Galau Parah, Hari Ini Dibuka Merana Lagi",2024/01/09,negatif
"Awas, Bos OJK Bocorkan Ada Modus Penipuan Baru yang Meresahkan",2024/01/09,negatif
Chaebol: Cerita 5 Keluarga yang Kendalikan Ekonomi Korea Selatan,2024/01/09,netral
Bendungan Garapan WIKA Ini Sukses Diresmikan Jokowi,2024/01/09,positif
"Antisipasi Ancaman Global, OJK Bakal Lakukan Ini",2024/01/09,netral
Rupiah Putus Tren Pelemahan 5 Hari Beruntun Gegara Data BI,2024/01/09,positif
Bos BMRI Beberkan Strategi Kunci dan Tantangan 2024,2024/01/09,netral
"Tahun Politik Ramai Perusahaan Politisi Galang Dana IPO, Apa Kata BEI?",2024/01/09,netral
Nyata! Kelas Menengah RI Masih 'Makan Tabungan' di Akhir 2023,2024/01/09,netral
"Wall Street Dibuka Naik Sih, Tapi Tipis-Tipis Aja Nih",2024/01/10,positif
"Tak Kuat Modal, 10 Asuransi Tak Lanjutkan Usaha Syariah",2024/01/10,negatif
"4 Peraturan Baru Asuransi & Dapen Terbit Tahun Ini, Cek Rinciannya",2024/01/10,netral
Rupiah Ditutup Terlemah 1 Bulan Terakhir Gegara Proyeksi Ini!,2024/01/10,negatif
"Otoritas Bursa AS Kena Hack, Harga Kripto Berterbangan",2024/01/10,negatif
IFG Tunjuk Novi Imelda Jadi Direktur Bahana TCW,2024/01/10,netral
"Menantu Jokowi Jadi Sorotan Publik, Segini Harta Bobby Nasution",2024/01/10,netral
"Dolar AS Akan Tetap Lebih Perkasa Dibanding Yuan, Ini Alasannya",2024/01/10,netral
"IHSG Ditutup Sumringah, 6 Emiten Ini Jadi Penopang",2024/01/10,positif
"Inflasi AS Kembali Naik, Tapi Wall Street Tetap Dibuka Cerah",2024/01/11,positif
OJK Ungkap Kelompok Ini Sasaran Legit Pinjol dan Investasi Ilegal,2024/01/11,netral
Ganjar: BUMN Tak Boleh Punya Cucu-Cicit!,2024/01/11,netral
"Inflasi Tembus 65%, Lira Sentuh Level Terendah Lawan Dolar",2024/01/11,negatif
2 Alasan PKPU Budi Said ke Antam Kurang Tepat,2024/01/11,netral
Bos Total Bangun Persada Borong Saham TOTL,2024/01/11,positif
"Wall Street Menghijau Lagi, Bakal Happy Weekend?",2024/01/12,positif
OJK Cabut Izin Futuready Insurance dan Bekukan Sarana Sultra Ventura,2024/01/12,negatif
Agus Marto Genggam 169.585.462 Saham GOTO,2024/01/12,positif
Wamen BUMN Kasih Tips Ini Agar Pengusaha Kecil Naik Kelas,2024/01/12,netral
"Bos BRI: Pernyataan ""BUMN Tidak Harus Untung"" Berbahaya",2024/01/12,netral
"Mau IPO, Topindo Solusi Komunika Patok Harga IPO Rp 115-125/Saham",2024/01/12,positif
"ADRO Tebar Dividen, Boy Thohir Hingga TP Rachmat Dapat Segini",2024/01/12,positif
"IHSG Happy Weekend, Duet BMRI dan BBRI Jadi Penopang Utama",2024/01/12,positif
"Limit Rp 20 Juta, Ini Cara Daftar & Pakai BCA Paylater",2024/01/12,netral
"Cuan! Harga Emas Sepekan Melejit, Jadi Rp 1,131 Juta per Gram",2024/01/13,positif
"Buat Intip-Intip, Ini Saham Paling Cuan dan Boncos Sepekan",2024/01/13,netral
"Rupiah Terdepresiasi Minggu Ini, Dolar Jadi Rp15.545",2024/01/13,negatif
"Tren IHSG Sepekan Melemah, Meski 'Hijau' di Akhir Minggu",2024/01/13,negatif
"Perkenalkan BCA Paylater Limit Rp20 Juta, Ini Cara Daftarnya",2024/01/13,netral
"Profil William Li, Founder Akulaku yang Paylaternya Disetop OJK",2024/01/13,netral
"Citigroup Bakal PHK 20.000 Karyawan, Ada Apa?",2024/01/13,negatif
"Petaka Meikarta, Dulu 'Naik Daun' Kini Sepi Bak 'Kuburan'",2024/01/13,negatif
"Awali Tahun dengan Gemilang, Saham BBRI Sentuh All Time High",2024/01/13,positif
"Robert Kiyosaki Ramal AS Jadi Negara Termiskin Dunia, Kok Bisa?",2024/01/14,netral
Kisah Keruntuhan Dinasti Bisnis Salim Setelah 3 Dekade Berjaya,2024/01/14,netral
Penjelasan Ilmiah Tuyul Tak Curi Uang di Bank,2024/01/14,netral
"Terungkap, Orang Terkaya Israel Mesin Uangnya Populer di RI",2024/01/14,netral
"RI Ramai-Ramai Ditinggal Bank Asing, Cek Daftar Terbaru",2024/01/14,negatif
"Jokowi Mau Lepas Jabatan, Segini Gaji & Uang Pensiunnya",2024/01/14,netral
Kisah Raja Rokok RI Ganti Nama Perusahaan Gegara Mimpi,2024/01/14,netral
Duh! Banyak Warga RI Pakai Paylater Tidak Mau Bayar,2024/01/15,negatif
Antam Tidak Bisa Diminta Tanggung Jawab di Sengketa Emas Budi Said,2024/01/15,netral
Ada Prabowo di Acara Perayaan Natal Kementerian BUMN,2024/01/15,netral
"Tak Jadi Mundur dari Gubernur Jatim, Segini Gaji & Tunjangan Khofifah",2024/01/15,netral
"IHSG Ditutup Loyo, Emiten Prajogo Pangestu Jadi Biang Kerok",2024/01/15,negatif
"BI Kabarkan Utang RI Tembus US$400 miliar, Rupiah Turun Tipis",2024/01/15,negatif
"Dukung UMKM, BSI Siap Salurkan KUR Syariah Rp 16 T di 2024",2024/01/15,positif
"Berani Resign dari PDIP & Ikut Jokowi, Segini Harta Maruarar Sirait",2024/01/16,netral
"Bukan Sultan Gadungan, Ini 10 Konglomerat Terkaya Timur Tengah",2024/01/16,netral
Pasar Kripto Kebanjiran Dana Rp18 T Pasca ETF Bitcoin Spot Disetujui,2024/01/16,positif
"Konflik Laut Merah Masih Panas, Tapi Minyak Gagal Terbang Gegara Ini",2024/01/16,negatif
"Pelaku Pasar Tunggu Hasil Rapat Dewan Gubernur BI, Rupiah Lanjut Turun",2024/01/16,negatif
"Alert! Bursa Asia Dibuka Kebakaran, Nikkei Gagal Cetak Rekor Lagi",2024/01/16,negatif
"Penjualan Ritel AS Naik, Wall Street Dibuka Koreksi!",2024/01/17,negatif
"Wajib Tahu! Ini Perbedaan Kartu Kredit, Paylater & Pinjol",2024/01/17,netral
"Kaya Mendadak, 4 Bos Medco (MEDC) Dapat Jutaan Saham Gratis",2024/01/17,netral
BRI Finance Salurkan Pembiayaan Rp 6 Triliun Sepanjang 2023,2024/01/17,positif
BI Siapkan Rp 260 T Jelang Pemilu & Lebaran 2024,2024/01/17,netral
Simak! Keputusan Lengkap BI Tahan Suku Bunga Acuan 6%,2024/01/17,netral
Target BI: Kredit Tumbuh 10%-12% Tahun Ini,2024/01/17,positif
"OJK Terbitkan Aturan Main Modal Ventura, Ini Isinya",2024/01/17,netral
"Rombak Manajemen, 360Kredi Tunjuk Eks Bos AFPI Kuseryansyah Jadi Dirut",2024/01/17,netral
"Saham Apple dan Nvidia Menguat, Nasdaq dan S&P Dibuka Hijau",2024/01/18,positif
"LSI Denny JA: Prabowo-Gibran 46,6%, Ganjar-Mahfud 24,8%, AMIN 22,8%",2024/01/18,netral
"Penjelasan Lengkap Kejagung Soal Penipuan Emas Antam Rp1,1 T Budi Said",2024/01/18,negatif
"Ada Potensi Kerugian Negara Lebih Besar, Antam Diminta Ajukan PK 2",2024/01/18,negatif
"Viral, Modal Rp200 Ribu, Penjual Jamu Ini Kini Omsetnya 100 Kali Lipat",2024/01/18,netral
"Kejagung Geledah Rumah Budi Said di Surabaya, Temukan Logam Mulia",2024/01/18,negatif
"Pemufakatan Jahat Budi Said di Penipuan Emas Antam Rp1,1 T Terbongkar",2024/01/18,negatif
"Pengertian Saham Gorengan, Ciri-Ciri, dan Cara Menyikapinya",2024/01/18,netral
"Breaking: Budi Said Tersangka Penipuan Emas Antam, Ditahan Kejagung",2024/01/18,negatif
"Keperkasaan Dolar Melandai, Bursa Wall Street Dibuka Hijau!",2024/01/19,positif
"Ini 10 Pekerjaan dengan Gaji Tertinggi di 2023, Ada Punyamu?",2024/01/19,netral
"Batu Bara 'Bakal' Hilang, Energi Ini Bisa Bikin RI Jadi Raja",2024/01/19,netral
"Perkuat Pengawasan Pasar Modal, OJK Terbitkan 2 Aturan Baru",2024/01/19,positif
"IHSG Ditutup Turun 0,35% Diseret Emiten Prajogo Pangestu",2024/01/19,negatif
"Asuransi Amanah Githa Ganti Nama, Jadi Diakuisisi Kitabisa?",2024/01/19,netral
2 Hari Beruntun Rupiah Naik Gegara Optimisme Pemangkasan Suku Bunga,2024/01/19,positif
"Kinerja Moncer, UNTD Tawarkan Harga Saham Rp 170 - Rp 240",2024/01/19,positif
"Pasar Saham AS Cetak Rekor, Bye Suku Bunga Tinggi & Ekonomi Pandemi",2024/01/20,positif
"Kompak Hengkang dari PDIP, Segini Harta Maruarar & Budiman",2024/01/20,netral
"Masa Kerja Tinggal 9 Bulan, Jokowi Akan Terima Uang Pensiun Segini",2024/01/20,netral
"Kasus Budi Said, Kejagung: Ada Konspirasi Jahat Pembelian Emas Antam",2024/01/20,negatif
"Pernah Makan Korban, Ini Arti Saham Gorengan dan Ciri-cirinya",2024/01/20,netral
"Kena Pajak 40%, Ini Dia Daftar Artis Pemilik Bisnis Karaoke",2024/01/20,netral
"Cuma Kerja 5 Tahun, Anggota DPR Dapat Uang Pensiun Segini..",2024/01/21,netral
"Titiek Soeharto Mantan Istri Prabowo, Punya Harta Setengah Triliun!",2024/01/21,netral
Top Gainers Pekan Lalu Banyak Saham Konglomerat RI,2024/01/21,netral
"Sempat Terbang, Rupiah Sepekan Akhirnya Cuma Menguat Tipis",2024/01/21,positif
IHSG Sepekan Keok Diombang-ambing Emiten Orang Terkaya RI,2024/01/21,negatif
"Saat Raja Ritel RI ""Menyerah"" Kepada Keluarga Riady",2024/01/21,netral
Harga Emas Sepekan Naik Turun Bak Roller Coaster,2024/01/21,negatif
Kisah Bisnis Salim yang Ambruk Setelah 3 Dekade Menguasai RI,2024/01/21,netral
Erick Thohir Angkat Menantu Luhut Pandjaitan Jadi Komut Pindad,2024/01/22,netral
"Viral Koper Airwheel Gak Bisa Masuk Kabin Pesawat, Produsen Buka Suara",2024/01/22,netral
Tok! OJK Setujui Sosok Ini Jadi Direktur TUGU,2024/01/22,netral
Kementerian BUMN Bakal Bawa Kasus Suap SAP ke Kejagung,2024/01/22,netral
"Santer, Investor Singapura Caplok Buana Finance (BBLD) Rp2,1 T",2024/01/22,positif
IHSG Mendadak Lompat dan Berakhir Hijau Diangkat Saham-saham Ini,2024/01/22,positif
"Adakan Kegiatan Edukasi Keuangan ke Anak SMA se-Jaksel, Ini Pesan OJK",2024/01/22,netral
"Gibran Singgung CCS di Debat, Seberapa Efektif Untuk Transisi Energi?",2024/01/22,netral
"Subsidi Energi Melonjak, Pemerintah Diminta Hapus Program Ini",2024/01/23,negatif
Emiten Prajogo Pangestu Buka-Bukaan Isu Pipa Gas Bocor di Cilegon,2024/01/23,netral
"Harga Ambles, BHP & Wyloo Hentikan Operasi Tambang Nikel di Australia",2024/01/23,negatif
"Bank Rebutan Tabungan, Profitabilitas Tergerus",2024/01/23,negatif
"2 Hari Beruntun IHSG Tiba-tiba Menguat & Ditutup Hijau, Ada Apa?",2024/01/23,positif
"Modal Ventura Ikut Sasar UMKM, Ini Beda Dengan Pinjol & Pinjaman Bank",2024/01/23,netral
OJK: Fintech P2P yang Belum Turunkan Bunga Pinjaman Sisa Satu,2024/01/23,netral
"Pelanggan Netflix Tembus Rekor, Wall Street Berjalan di Zona Hijau",2024/01/24,positif
Asuransi Prolife Milik Henry Surya Umumkan Tim Likuidasi,2024/01/24,netral
"Saham Syariah Dan Saham Konvensional, Apa Bedanya?",2024/01/24,netral
"Krisis Properti China, Country Garden Jual Aset Rp 8 T, Utang Rp239 T",2024/01/24,negatif
"Perbankan dan Pinjol, Harus Bersaing atau Kolaborasi?",2024/01/24,netral
"Dear Investor, Begini Peluang Investasi di Tahun Politik",2024/01/24,netral
"Inflasi AS Semakin Mendingin, Wall Street Pesta Cuan!",2024/01/25,positif
"Breaking! Dolar Ngamuk, Rupiah Tembus Rp15.820/US$",2024/01/25,negatif
"Mengenal Unusual Market Activity (UMA) di Saham, Investor Harus Apa?",2024/01/25,netral
"Kinerja Meleset, Saham Tesla Anjlok 6%",2024/01/25,negatif
Lo Kheng Hong Kasih Tips Ini Agar Warga Miskin RI Bisa Beli Rumah,2024/01/25,netral
Ini Cara LPS Tangani Bank Gagal Sistemik & Lindungi Dana Nasabah,2024/01/25,netral
"Incar Pasar Motor Listrik, United Bike Ungkap Strategi Usai IPO",2024/01/25,netral
"Rupiah Ambruk Paling Parah di Asia, Ini Dia Penyebabnya!",2024/01/25,negatif
"Nilai Akuisisi Rp 2,2 T, OCBC Bakal Merger dengan Commonwealth",2024/01/25,positif
Arti Buyback Saham dan Alasan Emiten Melakukannya,2024/01/26,netral
"Aturan Baru Penagihan Kredit, Ini Kata Asosiasi Multifinance & Fintech",2024/01/26,netral
"Bos TPIA Borong 968.600 Saham. Rogoh Kantong Rp 3,9 Miliar",2024/01/26,positif
"RAPP Perusahaan Pertama Pakai Bus Listrik, Ini Alasannya",2024/01/26,netral
Heboh! Akun Ditjen Pajak Pantau Istri Ustaz Solmed di TikTok,2024/01/27,netral
Deretan Bank Asing yang Kompak Tinggalkan Indonesia,2024/01/27,negatif
"Diam-Diam Ada Saham yang Terbang 117% Pekan Ini, Siapa Emitennya?",2024/01/27,positif
"Viral Bayar Kuliah ITB Pakai P2P Lending, Danacita Klarifikasi ke OJK",2024/01/27,netral
"Rupiah Hancur Lebur di Januari, Tanda-Tanda Apa?",2024/01/27,negatif
"Kilau Emas Dunia Meredup, Berapa Harganya Sekarang?",2024/01/27,negatif
"IHSG Benar-Benar Loyo, Sepekan 'Merah' Membara",2024/01/27,negatif
"Abdee Slank Tegas Dukung Ganjar-Mahfud, Rela Tinggalkan Gaji Segini",2024/01/27,netral
Bank Mandiri Ungkap Peran Digitalisasi dalam Tangkap Peluang Bisnis,2024/01/27,positif
"Lo Kheng Hong Sebut Kebiasaan Warga RI Ini Bikin Miskin, Apa Itu?",2024/01/27,netral
"Ini Profil William Li, Founder Akulaku yang Kena Semprit OJK",2024/01/28,netral
Nah! Ini Dia Sang Legenda Debt Collector di Indonesia,2024/01/28,netral
Sosok Pengusaha Sawit Ini Bikin Negara Rugi Rp100 Triliun,2024/01/28,negatif
"Kata Lo Kheng Hong, Kebiasaan Orang RI Ini Bikin Miskin!",2024/01/28,netral
"Musim Rilis Laporan Keuangan, Wall Street Dibuka Sumringah",2024/01/29,positif
"Bikin Happy, UNTD Janjikan Rajin Tebar Dividen Setelah IPO",2024/01/29,positif
"Emiten Prajogo Pangestu TPIA Ditendang dari LQ45, Bursa Buka Suara",2024/01/29,negatif
"Disebut Sri Mulyani Profesi Idaman Mertua, Ini Bankir Terkaya di Dunia",2024/01/29,netral
Live Now: Bos BRI Buka-Bukaan Soal Investasi Cuan di Tahun Naga Kayu,2024/01/29,netral
BEI Buka Peluang Kocok Ulang Indeks LQ45 3 Bulan Sekali,2024/01/29,netral
"Investor Ramai-ramai Serbu SBN, SRBI Kurang Laku",2024/01/29,netral
"IHSG Bisa Tembus 7.600, Emiten Sektor Ini Bisa Bikin Cuan",2024/01/29,positif
"Incar Pasar Asia Pasifik, PIS Kian Ekspansif di Singapura",2024/01/29,positif
IHSG Rebound! BBRI & BMRI Jadi Penggerak Utama,2024/01/29,positif
"BRIS Melejit Lagi, Market Cap Salip BRPT GOTO DCII",2024/01/29,positif
"Pasar Menanti Kabar Baik dari The Fed, Rupiah Ditutup Rp15.805/US$",2024/01/29,positif
Investor Lebih Was-was Sri Mulyani Cs Mundur Ketimbang Jokowi Kampanye,2024/01/29,netral
"Asuransi Jasindo Bayar Klaim Gagal Panen Petani Rp 1,1 Miliar",2024/01/29,negatif
"Dikelola Ugal-Ugalan, Satu Bank Syariah Bangkrut",2024/01/29,negatif
Ini Alasan Finlandia Boyong 15 Perusahaan Buat Investasi di IKN,2024/01/29,positif
"Ramalan Chatib Basri, The Fed Akan Pangkas Suku Bunga Segini di 2024",2024/01/29,netral
"Investor Kecewa! Ada Fokus Baru, Wall Street Dibuka Anjlok",2024/01/30,negatif
"Gokil! SWF Terbesar Dunia Catat Rekor Untung, Tembus Rp 3.363 T",2024/01/30,positif
"LPS Sorot Tabungan Rp 5 M Menyusut, Ini Penyebabnya",2024/01/30,negatif
"Pendiri Netflix Sumbang Saham Senilai Rp 17,3 T",2024/01/30,positif
"Mantan Istri Jeff Bezos Buang Saham Amazon Rp164,29 T",2024/01/30,negatif
LPS: Banyak BPR Bangkrut Gara-Gara 'Dimaling' Pemiliknya,2024/01/30,negatif
"Ngeri, Ini Dampak Jatuhnya Evergrande ke Ekonomi Global",2024/01/30,negatif
"Kitabisa Akuisisi Asuransi Amanah Githa, Program SalingJaga Jalan Lagi",2024/01/30,positif
"Punya Rp 211 T, LPS Jamin Dana Masyarakat di Bank Aman",2024/01/30,netral
"Kabar The Fed Bikin Dag Dig Dug, Wall Street Kompak Dibuka Anjlok",2024/01/31,negatif
"Sebelum Jadi Presiden, Ini Sumber Kekayaan Keluarga Jokowi",2024/01/31,netral
"Kantongi RKAB Sampai 2026, BUMI Targetkan Produksi 80 Juta Ton",2024/01/31,netral
"GOTO Pede Mau Buyback Saham, Ternyata Ini Alasannya!",2024/01/31,netral
"Sampoerna Bantah Berpihak ke Prabowo, Boy Thohir Bilang Gini",2024/01/31,netral
"Taking Profit Usai, Wall Street Kembali Ke Zona Hijau",2024/02/01,positif
"Debt Collector Ternyata Boleh Tagih di Luar Jam Kerja, OJK Buka Suara",2024/02/01,netral
"Bayar UKT ITB Pakai P2P Lending, Ini yang Dikhawatirkan OJK",2024/02/01,negatif
"Jokowi Bukan Presiden RI Termiskin, Siapa yang Terkaya?",2024/02/01,netral
"BRI Life Cairkan Rp5,59 T Klaim Sepanjang 2023",2024/02/01,positif
OJK: Pinjam Uang Sengaja Tak Bayar Tidak akan Dilindungi,2024/02/01,netral
Bank Mandiri Sebut Ini Soal Pengganti Siddik Badrudin,2024/02/01,netral
"ADB Beri Utang Rp6,6 T ke RI, Bangun Sanitasi",2024/02/01,netral
Segini Harta Mahfud Sebelum Mundur Jadi Menkopolhukam Jokowi Terlama,2024/02/01,netral
"Laba Meroket 33%, Inovasi Ini Bikin BSI Cetak Kinerja Impresif",2024/02/01,positif
"Jokowi Ngamuk Tabungan Tak Diputar Bank, Ini Datanya!",2024/02/01,negatif
"Prabowo Kapok Main Saham di Eropa, BEI: di Indonesia Bisa Untung",2024/02/01,netral
"IHSG Ditutup Turun 0,09% Hari Ini, 6 Saham Ini Jadi Beban",2024/02/01,negatif
"Jokowi Kasih Iriana Hadiah Tas Seharga Rp 25 Ribu, Ternyata Produk Ini",2024/02/01,netral
"Ambisi Prabowo Mau Sulap Singkong Jadi Bensin, Kelapa Sawit Jadi Solar",2024/02/01,netral
"Digitalisasi BSI Makin Ekspansif, Belanja IT Tahun Ini Rp 1,5 T",2024/02/01,positif
"Kabar Ini Beri Angin Segar Bagi RI, Dolar Ditutup Rp15.760",2024/02/01,positif
"Kinerja Keuangan Hingga Data Pengangguran, Warnai Pasar Wall Street",2024/02/02,netral
"Siapapun Presidennya, Industri Batu Bara Butuh Kepastian Kebijakan",2024/02/02,netral
Bayan Resources Ungkap Tantangan Sektor Batu Bara di 2024,2024/02/02,netral
Pelaku Industri Batu Bara Dukung Skema Iuran MIP Segera Diwujudkan,2024/02/02,netral
"Dolar Menguat, Gimana Efeknya ke Bisnis Batu Bara? Ini Kata Bos Bayan",2024/02/02,netral
"Pemerintah Godok Student Loan, Danacita Ajukan Diri Jadi Penasihat",2024/02/02,netral
Begini Cara WIKA Realisasikan Penguatan Tata Kelola,2024/02/02,netral
"Dipakai Buat Bayar Kuliah, Segini Kredit Macet Danacita",2024/02/02,netral
"Bukan Cuma ITB, Danacita Kerja Sama dengan Hampir 100 Kampus di RI",2024/02/02,positif
Simak Rahasia Bayan Resources Cetak Kinerja Brilian di 2023,2024/02/02,netral
